epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.64608,0.97831,3.54197,1.02514,0.00836,0.52116,0.0863,0.07384,0.59162,3.59783,0.82902,2.858e-05,2.858e-05,2.858e-05
2,2.39675,0.96172,3.65785,1.00536,0.01072,0.70635,0.13003,0.09419,0.45753,3.55782,0.81046,7.00353e-05,7.00353e-05,7.00353e-05
3,3.0636,0.77027,3.57874,0.95713,0.01405,0.96296,0.17984,0.13876,0.53842,3.4524,0.82155,0.000109793,0.000109793,0.000109793
4,3.66159,0.75161,3.18385,0.92044,0.01359,1,0.18671,0.15998,0.60618,3.37677,0.83358,0.000147853,0.000147853,0.000147853
5,4.24976,0.75484,2.90375,0.87265,0.01371,1,0.19235,0.16681,0.6438,3.32177,0.83651,0.000184215,0.000184215,0.000184215
6,4.82085,0.75768,2.61757,0.87755,0.01526,1,0.18889,0.16423,0.65928,3.31117,0.82589,0.00021888,0.00021888,0.00021888
7,5.33884,0.77393,2.37547,0.89109,0.76959,0.03704,0.20703,0.17291,0.61648,3.19087,0.81727,0.000251847,0.000251847,0.000251847
8,5.84631,0.7237,1.98073,0.86274,0.84399,0.03704,0.24389,0.1976,0.57039,3.08352,0.81504,0.000283116,0.000283116,0.000283116
9,6.38939,0.9316,2.09419,0.88508,0.86943,0.03704,0.35239,0.27832,0.5703,2.90774,0.81302,0.000312688,0.000312688,0.000312688
10,6.91351,0.78928,1.76269,0.87589,0.47979,0.03704,0.40259,0.30173,0.60542,2.85569,0.8155,0.000340562,0.000340562,0.000340562
11,7.46878,0.8268,1.81657,0.94007,0.02243,1,0.51577,0.40072,0.67868,2.77308,0.83816,0.000366739,0.000366739,0.000366739
12,8.02202,0.81245,1.74526,0.87542,0.02308,1,0.50894,0.4012,0.67108,2.76596,0.84325,0.000391217,0.000391217,0.000391217
13,8.64456,0.65874,1.39801,0.8815,0.02359,1,0.53466,0.40463,0.54644,2.78901,0.82826,0.000413998,0.000413998,0.000413998
14,9.16553,0.72736,1.37869,0.86748,0.49897,0.14344,0.51671,0.4052,0.54707,2.76985,0.82982,0.000435082,0.000435082,0.000435082
15,9.71649,0.68643,1.24335,0.85399,0.45542,0.08953,0.44023,0.33596,0.57201,2.79523,0.82813,0.000454468,0.000454468,0.000454468
16,10.2277,0.70239,1.18535,0.85928,0.42067,0.21533,0.38267,0.2996,0.6051,2.88601,0.83929,0.000472156,0.000472156,0.000472156
17,10.7461,0.72163,1.19663,0.87294,0.5441,0.18212,0.41965,0.32425,0.61948,2.86907,0.84845,0.000488146,0.000488146,0.000488146
18,11.3008,0.60664,1.05152,0.85623,0.58288,0.2334,0.4537,0.36332,0.60184,2.71476,0.85057,0.000502439,0.000502439,0.000502439
19,11.8319,0.64993,0.88351,0.85482,0.56258,0.29385,0.5335,0.41467,0.62708,2.49554,0.86154,0.000515034,0.000515034,0.000515034
20,12.3629,0.60991,0.86075,0.88281,0.65107,0.41816,0.6713,0.51435,0.65449,2.27725,0.8704,0.000525932,0.000525932,0.000525932
21,12.8667,0.69786,0.96514,0.87941,0.68034,0.51363,0.73499,0.58586,0.67407,2.08671,0.89285,0.000535132,0.000535132,0.000535132
22,13.3963,0.65259,0.87075,0.87056,0.71507,0.62562,0.77341,0.65389,0.65059,1.93294,0.89358,0.000542634,0.000542634,0.000542634
23,13.9061,0.64726,0.78964,0.86853,0.69457,0.64128,0.80404,0.69056,0.60982,1.86076,0.88043,0.000548439,0.000548439,0.000548439
