Item,Description,Quantity,Unit Price (EGP),Total Price (EGP),Vendor,Product Link,Notes
Raspberry Pi 4 Model B (4GB RAM),AI vision processing unit running YOLO detection locally,1,2500,2500,Most Electronics,https://mostelectronic.com/shop/raspberry-pi/raspberry-pi-4-model-b-4gb-ram/,Recommended: 4GB+ RAM
Raspberry Pi Camera Module v2,High-quality camera for road monitoring and AI detection,1,350,350,Most Electronics,https://mostelectronic.com/shop/raspberry-pi/raspberry-pi-camera-module-v2/,8MP camera with ribbon cable
MicroSD Card 32GB Class 10,Storage for Raspberry Pi OS and software,1,150,150,Most Electronics,https://mostelectronic.com/shop/memory-storage/microsd-cards/,Minimum 32GB recommended
Raspberry Pi 5V 3A USB-C Power Supply,Official power supply for Raspberry Pi 4,1,200,200,Most Electronics,https://mostelectronic.com/shop/raspberry-pi/raspberry-pi-official-power-supply/,Required for stable operation
ESP32-DevKitC-32D (ESP-32 Development Board),Main traffic controller pulling Firebase data and driving signal logic,1,550,550,Most Electronics,https://mostelectronic.com/shop/arduino-development-boards/esp-32-development-board-wifi-bluetooth/,WiFi/Bluetooth enabled
Traffic Light Module (3-Color LED Module),Single physical traffic light with Red/Yellow/Green LEDs,1,80,80,Most Electronics,https://mostelectronic.com/shop/displays-lcd-7-seg-led/traffic-light-module/,Built-in resistors included
Servo Motor SG90 (Emergency Gate),Servo motor for emergency gate control,1,45,45,Most Electronics,https://mostelectronic.com/shop/motors-servos-steppers/servo-motors/servo-motor-sg90/,Standard 9g servo
Servo Motor SG90 (Speed Bump),Servo motor for speed bump mechanism,1,45,45,Most Electronics,https://mostelectronic.com/shop/motors-servos-steppers/servo-motors/servo-motor-sg90/,Standard 9g servo
Servo Motor SG90 (Pedestrian Gate),Servo motor for pedestrian crossing gate,1,45,45,Most Electronics,https://mostelectronic.com/shop/motors-servos-steppers/servo-motors/servo-motor-sg90/,Standard 9g servo
MQ135 Gas Sensor Module,Air pollution sensor for monitoring air quality,1,120,120,Most Electronics,https://mostelectronic.com/shop/sensors-modules/gas-sensors/mq135-gas-sensor-module/,Analog output sensor
IR Sensor Module (Speed Detection Sensor 1),Infrared sensor for vehicle speed detection entry point,1,25,25,Most Electronics,https://mostelectronic.com/shop/sensors-modules/infrared-sensors/ir-sensor-module/,Digital output
IR Sensor Module (Speed Detection Sensor 2),Infrared sensor for vehicle speed detection exit point,1,25,25,Most Electronics,https://mostelectronic.com/shop/sensors-modules/infrared-sensors/ir-sensor-module/,Digital output
LDR Module (Light Dependent Resistor),Day/Night detection sensor for automatic street lighting,1,15,15,Most Electronics,https://mostelectronic.com/shop/sensors-modules/light-sensors/ldr-module/,Built-in voltage divider
HC-SR04 Ultrasonic Sensor,Vehicle detection sensor using ultrasonic waves,1,35,35,Most Electronics,https://mostelectronic.com/shop/sensors-modules/ultrasonic-sensors/hc-sr04-ultrasonic-sensor/,3.3V compatible
Push Button (Pedestrian Crossing),Pedestrian crossing request button,1,5,5,Most Electronics,https://mostelectronic.com/shop/components/switches/push-button/,Momentary push button
5V Relay Module,Relay module for controlling street lights (10 white LEDs),1,30,30,Most Electronics,https://mostelectronic.com/shop/components/relays/5v-relay-module/,Controls all street lights
I2C LCD Display 16x2,Display for showing traffic status and system information,1,80,80,Most Electronics,https://mostelectronic.com/shop/displays-lcd-7-seg-led/i2c-lcd-displays/i2c-lcd-16x2/,I2C interface
Arduino Uno (for LCD Display),Arduino board for LCD display control,1,180,180,Most Electronics,https://mostelectronic.com/shop/arduino-development-boards/arduino-uno-r3/,Optional: can use ESP32 directly
Jumper Wires (Male-to-Male),Connection wires for breadboard prototyping,40,0.5,20,Most Electronics,https://mostelectronic.com/shop/components/jumper-wires/,Various lengths
Jumper Wires (Male-to-Female),Connection wires for component connections,20,0.5,10,Most Electronics,https://mostelectronic.com/shop/components/jumper-wires/,Various lengths
Breadboard (830 Points),Prototyping breadboard for circuit assembly,1,25,25,Most Electronics,https://mostelectronic.com/shop/components/breadboards/830-points-breadboard/,Standard size
5V 3A Power Supply (External),External power supply for servos and additional components,1,100,100,Most Electronics,https://mostelectronic.com/shop/power-supplies/5v-power-supplies/,For servo motors
7.4V Battery Pack (Optional Backup),Optional backup power source,1,150,150,Most Electronics,https://mostelectronic.com/shop/batteries-accessories/battery-packs/,Optional component
Resistor 220Ω 1/4W (for LEDs),Current limiting resistors for LEDs if needed,10,0.2,2,Most Electronics,https://mostelectronic.com/shop/components/resistor-220-ohm/,If using individual LEDs
White LED 5mm (Street Lights),White LEDs for street lighting (10 pieces),10,1,10,Most Electronics,https://mostelectronic.com/shop/displays-lcd-7-seg-led/leds-displays-lcd-7-seg-led/led-white-color-5mm/,For street lighting
Resistor 220Ω 1/4W (for Street LEDs),Current limiting resistors for street light LEDs,10,0.2,2,Most Electronics,https://mostelectronic.com/shop/components/resistor-220-ohm/,For street light LEDs
USB Cable (Type-A to Micro-USB),Programming cable for ESP32,1,30,30,Most Electronics,https://mostelectronic.com/shop/cables-connectors/usb-cables/,For ESP32 programming
HDMI Cable (for Raspberry Pi),HDMI cable for connecting Raspberry Pi to monitor,1,50,50,Most Electronics,https://mostelectronic.com/shop/cables-connectors/hdmi-cables/,For initial setup
USB Keyboard (for Raspberry Pi Setup),USB keyboard for Raspberry Pi initial configuration,1,200,200,Most Electronics,https://mostelectronic.com/shop/computer-accessories/keyboards/,For initial setup
USB Mouse (for Raspberry Pi Setup),USB mouse for Raspberry Pi initial configuration,1,100,100,Most Electronics,https://mostelectronic.com/shop/computer-accessories/mice/,For initial setup
Heat Sinks for Raspberry Pi (Optional),Heat sinks for better Raspberry Pi cooling,1,50,50,Most Electronics,https://mostelectronic.com/shop/raspberry-pi/raspberry-pi-accessories/,Optional but recommended
Raspberry Pi Case (Optional),Protective case for Raspberry Pi,1,80,80,Most Electronics,https://mostelectronic.com/shop/raspberry-pi/raspberry-pi-cases/,Optional protection
,,,,,,,
TOTAL ESTIMATED COST (EGP),,All Items Above,,5420,,,Approximate total cost
